"No.","Time","Source","Destination","Protocol","Length","Info"
"5584","49.505297","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1992932 Ack=2001584 Win=65536 Len=0"
"5585","49.516123","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1992932 Ack=2001584 Win=65536 Len=1460"
"5586","49.516123","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1994392 Ack=2001584 Win=65536 Len=1460"
"5587","49.516123","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1995852 Ack=2001584 Win=65536 Len=162"
"5588","49.516260","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2001584 Ack=1996014 Win=131328 Len=0"
"5589","49.518841","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2001584 Ack=1996014 Win=131328 Len=1460"
"5590","49.518841","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2003044 Ack=1996014 Win=131328 Len=1460"
"5591","49.518841","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2004504 Ack=1996014 Win=131328 Len=176"
"5592","49.522028","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1996014 Ack=2004504 Win=65536 Len=0"
"5593","49.532469","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1996014 Ack=2004680 Win=65280 Len=1460"
"5594","49.532638","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1997474 Ack=2004680 Win=65280 Len=1460"
"5595","49.532638","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1998934 Ack=2004680 Win=65280 Len=162"
"5596","49.532716","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2004680 Ack=1999096 Win=131328 Len=0"
"5597","49.535099","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2004680 Ack=1999096 Win=131328 Len=1460"
"5598","49.535099","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2006140 Ack=1999096 Win=131328 Len=1460"
"5599","49.535099","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2007600 Ack=1999096 Win=131328 Len=176"
"5600","49.543496","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1999096 Ack=2007776 Win=65536 Len=0"
"5601","49.555158","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1999096 Ack=2007776 Win=65536 Len=1460"
"5602","49.555158","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2000556 Ack=2007776 Win=65536 Len=1460"
"5603","49.555158","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2002016 Ack=2007776 Win=65536 Len=162"
"5604","49.555250","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2007776 Ack=2002178 Win=131328 Len=0"
